ID_REF,GSM546233,GSM546234,GSM546235,GSM546236
10338224,5.18285,5.28684,5.18058,4.40087
10338225,2.41599,3.60943,3.36317,4.26742
10338226,1.76458,1.58464,2.06823,1.55747
10338227,2.91772,2.73228,3.67704,3.00997
10338228,5.13736,5.32399,5.87323,5.81179
10338229,1.61499,2.00306,1.87001,2.05808
10338230,1.60124,1.98605,1.77509,1.54919
10338231,6.88738,6.53135,6.34062,6.01011
10338232,4.53664,5.76728,5.80219,4.79974
10338233,3.05573,1.96538,2.86665,3.50267
10338234,1.72881,1.60759,2.00387,1.63789
10338235,2.8479,1.91374,2.00074,2.20828
10338236,3.20908,3.01882,2.55547,2.31767
10338237,5.39841,4.78026,4.25099,4.9703
10338238,3.02148,4.12941,3.78075,3.40115
10338239,3.72851,4.57791,5.24483,4.5112
10338240,1.77813,1.97526,1.71017,1.72008
10338241,1.96074,2.00644,1.74695,2.08219
10338242,2.28317,2.22322,2.29488,1.85705
10338243,3.77402,2.82058,3.68712,4.02895
10338244,8.38285,8.23013,8.49153,8.70413
10338245,1.03917,1.11325,1.21103,1.11325
10338246,2.09682,2.44325,2.41377,2.54998
10338247,2.22343,2.51754,2.53895,2.35331
10338248,2.3155,1.87259,1.97544,1.99144
10338249,3.43443,3.7398,3.69251,3.31992
10338250,2.33517,3.51697,2.56506,3.25987
10338251,4.17963,3.83297,4.18081,4.00678
10338252,1.23504,1.46216,1.58564,1.40212
10338253,2.36068,2.29742,2.55223,1.90201
10338254,5.50854,5.86075,5.61682,5.88791
10338255,1.47258,1.91913,2.5329,2.55518
10338256,1.88822,1.98107,2.65167,2.26282
10338257,5.00142,3.16009,4.32079,3.65642
10338258,5.77486,5.86202,5.78752,5.96558
10338259,2.3261,1.98605,1.68235,1.75111
10338260,1.32286,1.39005,1.76208,1.59766
10338261,2.06629,1.84338,2.07833,1.56356
10338262,2.6162,1.9676,2.11868,1.47264
10338263,2.14771,3.22979,4.1403,2.17329
10338264,2.00833,2.52522,2.34389,1.9346
10338265,4.38521,4.50889,4.2909,4.70914
10338266,1.88567,2.1558,1.45111,1.84303
10338267,2.33716,2.2225,2.27172,2.38638
10338268,3.16204,2.62225,2.41032,3.22184
10338269,2.17704,2.05362,2.27672,1.98748
10338270,1.62802,2.19161,1.57123,1.92408
