Array_Data_File	CELL_NAME
5500994158987071513209_F02.cel	A431
5500994172383112813929_F02.cel	A253
5500994158987071513202_F02.cel	KOPN-8
5500994158987071513207_F02.cel	MCF7
5500994172383112813928_F02.cel	TOV-112D
5500994158987071513201_F02.cel	RF-48
5500994172383112813930_F02.cel	NCI-H2085
5500994172948120113978_F02.cel	COR-L311
5500994173212120213068_F03.cel	8-MG-BA
5500994157493061613625_F03.cel	NCI-H2452
5500994158987071513209_F03.cel	ATN-1
5500994172383112813929_F03.cel	BOKU
5500994158987071513202_F03.cel	KMRC-20
5500994158987071513207_F03.cel	UM-UC-3
5500994158987071513201_F03.cel	RO82-W-1
5500994172383112813930_F03.cel	NCI-H378
5500994172948120113978_F03.cel	Mo
5500994173212120213068_F04.cel	MDA-MB-134-VI
5500994157493061613625_F04.cel	EFM-192A
5500994158987071513209_F04.cel	BHY
5500994158987071513202_F04.cel	LB2241-RCC
5500994158987071513207_F04.cel	VM-CUB-1
5500994172383112813928_F04.cel	SK-LU-1
5500994158987071513201_F04.cel	P12-ICHIKAWA
5500994172383112813930_F04.cel	NCI-H64
5500994172948120113978_F04.cel	NCI-H1417
5500994173212120213068_F05.cel	Hs-940-T
5500994157493061613625_F05.cel	UACC-62
5500994158987071513209_F05.cel	C2BBe1
5500994172383112813929_F05.cel	DMS-79
5500994158987071513202_F05.cel	LU-65
5500994158987071513207_F05.cel	WIL2-NS
5500994172383112813928_F05.cel	KARPAS-422
5500994158987071513201_F05.cel	PCI-30
5500994172383112813930_F05.cel	NCI-H69
5500994172948120113978_F05.cel	COR-L279
5500994173212120213068_F06.cel	CAL-12T
5500994157493061613625_F06.cel	DU-4475
5500994158987071513209_F06.cel	CAPAN-1
5500994172383112813929_F06.cel	EW-7
5500994158987071513202_F06.cel	LS-180
5500994158987071513207_F06.cel	SBC-1
5500994172383112813928_F06.cel	HuP-T4
5500994158987071513201_F06.cel	P32-ISH
5500994172383112813930_F06.cel	NB10
5500994172948120113978_F06.cel	MLMA
5500994173212120213068_F07.cel	PANC-02-03
5500994157493061613625_F07.cel	SISO
5500994158987071513209_F07.cel	CA46
5500994172383112813929_F07.cel	EHEB
5500994158987071513202_F07.cel	LAMA-84
5500994158987071513207_F07.cel	TE-15
5500994172383112813928_F07.cel	HAL-01
5500994158987071513201_F07.cel	NCI-H1648
5500994172383112813930_F07.cel	NOMO-1
5500994172948120113978_F07.cel	Hep3B2-1-7
5500994173212120213068_F08.cel	NCI-H1105
5500994157493061613625_F08.cel	JHH-1
5500994158987071513209_F08.cel	CFPAC-1
5500994172383112813929_F08.cel	HCT-15
5500994158987071513202_F08.cel	FU-OV-1
5500994158987071513207_F08.cel	TT2609-C02
5500994172383112813928_F08.cel	HLE
5500994158987071513201_F08.cel	NCI-H1734
5500994172383112813930_F08.cel	NB17
5500994172948120113978_F08.cel	LB373-MEL-D
5500994173212120213068_F09.cel	LoVo
5500994157493061613625_F09.cel	COLO-680N
5500994158987071513209_F09.cel	BPH-1
5500994172383112813929_F09.cel	H3255
5500994158987071513202_F09.cel	G-MEL
5500994158987071513207_F09.cel	SK-MEL-5
5500994172383112813928_F09.cel	SK-PN-DW
5500994158987071513201_F09.cel	NCI-H1563
5500994172383112813930_F09.cel	OCUM-1
5500994172948120113978_F09.cel	MDA-MB-468
5500994157493061613625_F10.cel	ESO51
5500994158987071513209_F10.cel	Detroit562
5500994172383112813929_F10.cel	HCC2218
5500994158987071513202_F10.cel	G-292-Clone-A141B1
5500994158987071513207_F10.cel	SW1990
5500994172383112813928_F10.cel	J82
