probe_id	entrezgene_id
1559522_at	100505918
240100_at	100505920
240801_at	100505929
217380_s_at	100505933
222072_at	100505933
230641_at	100505938
230548_at	100505942
237343_at	100505964
1559992_a_at	100505967
237028_at	100505975
237260_at	100505978
239517_at	100505984
231483_at	100505985
238103_at	100505989
242253_at	100506012
1559280_a_at	100506013
1556289_at	100506016
230431_at	100506022
233594_at	100506025
1568872_at	100506025
235712_at	100506046
241504_at	100506047
244079_at	100506049
232790_at	100506054
1561532_at	100506068
1558628_at	100506070
1560038_at	100506071
231028_at	100506082
1568787_at	100506083
210435_at	100506084
1555794_at	100506084
227985_at	100506098
228773_at	100506100
1557214_at	100506107
243440_at	100506108
237090_at	100506113
229296_at	100506119
1561228_at	100506122
220064_at	100506124
231232_at	100506125
237385_at	100506126
1558844_at	100506127
229243_at	100506127
1561198_at	100506127
1556662_at	100506142
1556663_s_at	100506142
213698_at	100506144
238491_at	100506161
1568660_a_at	100506172
243710_at	100506175
215185_at	100506190
1564244_a_at	100506195
1563040_s_at	100506195
1562449_s_at	100506195
1563039_at	100506195
242382_at	100506207
1558661_at	100506207
230710_at	100506211
236480_at	100506211
1556789_a_at	100506215
239407_at	100506215
1559573_at	100506229
228612_at	100506233
228643_at	100506233
240096_at	100506236
236579_at	100506237
228721_at	100506243
1556247_a_at	100506271
237312_at	100506272
1556454_a_at	100506274
1556796_at	100506275
220572_at	100506282
237543_at	100506286
240882_at	100506289
229756_at	100506299
243224_at	100506302
1557051_s_at	100506311
228642_at	100506311
235373_at	100506314
1559976_at	100506314
241568_at	100506319
238953_at	100506325
236036_at	100506343
221200_at	100506358
227765_at	100506365
226341_at	100506365
1561539_at	100506368
244366_at	100506371
237899_at	100506374
223630_at	100506380
236340_at	100506380
232804_at	100506385
238091_at	100506388
237697_at	100506403
234250_at	100506405
231284_at	100506406
237365_at	100506409
1562011_at	100506413
230184_at	100506421
1559917_a_at	100506428
1557215_at	100506433
231542_at	100506436
231541_s_at	100506436
240398_at	100506443
243245_at	100506446
237321_at	100506457
233590_at	100506457
1568615_a_at	100506462
1564220_a_at	100506465
1558381_a_at	100506469
222280_at	100506469
240887_at	100506470
236958_at	100506473
240225_at	100506475
1556740_at	100506475
243680_at	100506476
1559670_at	100506489
1562821_a_at	100506492
1559986_at	100506495
1560131_at	100506497
1557434_at	100506497
1557921_s_at	100506498
220846_s_at	100506504
1559540_at	100506526
233135_at	100506527
231473_at	100506530
231404_at	100506540
231580_at	100506542
236323_at	100506555
221109_at	100506571
219784_at	100506581
219785_s_at	100506581
1570375_at	100506585
1562447_a_at	100506599
1559026_at	100506599
213569_at	100506603
1557410_at	100506606
1561367_a_at	100506622
227332_at	100506649
1558007_s_at	100506655
1557139_at	100506660
227437_at	100506668
237617_at	100506675
237267_at	100506675
241552_at	100506677
1570085_at	100506679
1560940_at	100506680
1560941_a_at	100506680
240828_at	100506681
238485_at	100506686
241386_at	100506691
231233_at	100506696
240219_at	100506697
225640_at	100506710
225635_s_at	100506710
226635_at	100506710
236433_at	100506713
240233_at	100506714
1556617_a_at	100506724
229781_at	100506725
1562012_at	100506730
1562013_a_at	100506730
1559970_at	100506731
