sig_id	DER001.A549.96H.TRCN0000001401..666	DER001.A549.96H.TRCN0000196310..666	DER001.A549.96H.TRCN0000297346..666	DER001.A549.96H.TRCN0000195283..666	DER001.A549.96H.TRCN0000350250..666	DER001.A549.96H.TRCN0000005421..666	DER001.A549.96H.TRCN0000195274..666	KDD004.A549.96H.TRCN0000006180..666	DER001.A549.96H.TRCN0000230575..666
pert_id	TRCN0000001401	TRCN0000196310	TRCN0000297346	TRCN0000195283	TRCN0000350250	TRCN0000005421	TRCN0000195274	TRCN0000006180	TRCN0000230575
pert_iname	EIF2AK3	PTK2	MELK	PIK3C2A	PTP4A1	RIOK3	GNE	PGK1	ALDH9A1
pert_type	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh
cell_id	A549	A549	A549	A549	A549	A549	A549	A549	A549
pert_dose	1	1	1	1	1	1	1	1	1
pert_dose_unit	µL	µL	µL	µL	µL	µL	µL	µL	µL
pert_idose	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL
pert_time	96	96	96	96	96	96	96	96	96
pert_time_unit	h	h	h	h	h	h	h	h	h
pert_itime	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h
distil_id	DER001_A549_96H_X1_B7_DUO52HI53LO:G19|DER001_A549_96H_X2_B7_DUO52HI53LO:G19|DER001_A549_96H_X3_B7_DUO52HI53LO:G19	DER001_A549_96H_X1_B7_DUO52HI53LO:L21|DER001_A549_96H_X2_B7_DUO52HI53LO:L21|DER001_A549_96H_X3_B7_DUO52HI53LO:L21	DER001_A549_96H_X1_B7_DUO52HI53LO:A18|DER001_A549_96H_X2_B7_DUO52HI53LO:A18|DER001_A549_96H_X3_B7_DUO52HI53LO:A18	DER001_A549_96H_X1_B7_DUO52HI53LO:D22|DER001_A549_96H_X2_B7_DUO52HI53LO:D22|DER001_A549_96H_X3_B7_DUO52HI53LO:D22	DER001_A549_96H_X1_B7_DUO52HI53LO:A06|DER001_A549_96H_X2_B7_DUO52HI53LO:A06|DER001_A549_96H_X3_B7_DUO52HI53LO:A06	DER001_A549_96H_X1_B7_DUO52HI53LO:J11|DER001_A549_96H_X2_B7_DUO52HI53LO:J11|DER001_A549_96H_X3_B7_DUO52HI53LO:J11	DER001_A549_96H_X1_B7_DUO52HI53LO:C05|DER001_A549_96H_X2_B7_DUO52HI53LO:C05|DER001_A549_96H_X3_B7_DUO52HI53LO:C05	KDD004_A549_96H_X1_B5_DUO52HI53LO:D01|KDD004_A549_96H_X2_F1B5_DUO52HI53LO:D01|KDD004_A549_96H_X3_B5_DUO52HI53LO:D01	DER001_A549_96H_X1_B7_DUO52HI53LO:B14|DER001_A549_96H_X2_B7_DUO52HI53LO:B14|DER001_A549_96H_X3_B7_DUO52HI53LO:B14
region	CDS	CDS	CDS	CDS	3UTR	CDS	3UTR	CDS	CDS
NCBI_geneId	9451	5747	9833	5286	7803	8780	10020	5230	223
7157	-0.01938611	-1.239406	2.177894	0.08607564	-0.6455159	0.2178822	-1.384661	0.4573421	-0.5265944
1958	0.2956723	2.88453	1.235023	7.514337	3.4432	0.2062638	-0.4020326	-0.615604	-0.7183587
4582	0.891028	-0.3187379	-0.5170882	2.545845	3.18702	-0.5603656	0.08959596	-0.6807395	3.524853
9212	-1.06262	0.4107014	-0.5199885	-0.872049	0.7750911	0.222162	-0.3902197	-4.671002	-0.3690902
8440	-0.4643279	0.4202971	1.713326	1.505262	1.787542	0.7437853	-1.041385	-0.2237528	1.721116
6790	-0.01264802	-0.07888071	-0.5160951	-0.07511836	-0.5949194	-0.8444816	-0.8919116	-0.1625164	-0.7575136
8851	3.164035	0.3828424	2.084782	1.22989	1.29182	1.193461	0.08219056	-0.09634607	-0.1554889
2534	-0.4161633	-0.4296661	2.37918	0.06737745	1.155671	0.02162698	1.053775	0.472752	0.1410929
4893	-0.2806775	-0.2370328	0.5013319	-1.532527	0.8460184	-0.2026423	-0.8656214	-0.147832	0.6018035
665	0.1044792	-1.708025	-3.273312	-2.077007	0.5578164	-1.870488	1.478379	1.107334	0.06551525
4313	-0.08320708	-0.2521574	0.9241477	0.1294231	1.357517	0.3323457	0.5179256	-1.490576	0.6751479
1022	1.954379	0.6316157	-2.478016	1.970345	-0.3330089	-0.628143	0.3034833	0.813677	0.1788295
5880	-0.2142491	-1.155041	1.756497	5.072084	0.7297789	-0.9988256	-0.04222074	-0.9653553	0.31267
3162	0.335291	-0.7642317	0.7561996	1.392849	-1.367738	-1.830004	-1.553858	1.075027	-0.5409541
1282	-0.08721661	0.905212	0.3441997	-1.051769	-0.2476001	-1.655359	-1.902084	0.1238917	0.9658316
3383	1.614081	2.186823	3.713814	3.984409	3.537027	4.102007	0.2137646	-0.5495787	0.6203596
727	-0.1017977	-0.6202726	-0.4744366	-0.0724311	-0.7097296	0.1330429	-0.4557738	2.366931	0.4062244
4792	0.9000854	-0.1212397	0.6387703	0.4983497	-1.748271	-1.619036	-0.6019143	0.6191685	-0.03803028
4794	0.5590385	-0.3680956	1.165214	-0.550563	0.3105473	-0.4236415	0.1046807	-1.271583	0.6504366
902	0.6768941	-0.7659184	-0.4476007	-2.601834	-0.06375498	0.4245563	0.5015082	-0.0936518	0.6963981
8091	-0.5465641	-0.3353626	-0.08398074	-1.335518	-0.7943095	1.809262	-0.04276346	-0.8800264	1.722845
3486	-0.8729754	0.6661975	-0.3111944	1.085984	0.6429389	-2.519494	-1.717665	0.1819059	0.3209036
10818	-0.130629	0.2215428	1.606754	2.011952	2.534514	-0.2909408	0.6456447	-1.560188	0.5716896
3454	0.1248617	-0.1430771	0.9288389	0.2596073	1.818364	-0.005887419	0.7619175	-4.246288	1.183447
4282	-2.509175	0.1258361	-2.934245	-2.502289	-2.608234	0.04621449	-0.4542142	0.004179021	-3.804898
1605	-1.243454	0.3194164	0.05132031	2.322811	0.8966007	-3.198079	0.08188046	0.8625838	-0.2881851
10644	-1.293488	-0.9256357	2.65712	2.454848	0.5212748	1.40839	0.1214909	-1.04344	0.5816504
2065	-0.9947391	0.1474665	-0.05074736	0.3170599	0.7634627	-0.2108832	-0.1377298	-0.3388312	1.106283
8321	0.7136044	-0.5442017	0.9990255	0.3854428	0.9862883	0.8164728	0.3598064	-0.949322	0.4549617
8503	-0.7556234	0.8484882	2.34913	0.8098793	0.8350216	0.6592656	0.9057797	0.3939854	0.8913677
7027	0.2779877	-0.8818612	-0.8037634	-1.921553	-2.352686	0.750259	-1.830338	0.2872224	-0.269457
6850	0.3397476	-0.5163219	0.8339669	-0.254285	1.01267	0.3543159	0.6077523	-0.8306655	1.630548
1978	-0.877258	1.116694	-0.782565	-0.608692	-0.9878012	-0.7733811	-1.863781	-0.4646225	-0.9207657
896	1.12277	-0.2535489	-0.1909853	0.1778235	0.001214772	0.0632338	0.2006778	2.446278	-1.529236
5777	-0.8201924	-0.07839594	2.149358	2.077433	0.1562889	0.7565016	-0.05818567	0.9241717	-0.8328981
1846	-0.3878586	1.482037	-0.1042448	0.4500951	0.213732	1.632794	0.8112074	0.3185073	0.3517989
5925	1.774897	0.242705	-1.044843	-1.16772	-1.084711	-1.063572	0.992357	-1.523033	-0.9150877
142	-0.7091821	0.8349546	-1.393666	-0.3431771	-0.3852011	0.3386504	-1.526846	-1.393467	-0.4419712
1021	-0.994898	-0.4637227	-0.2110185	0.1975609	0.01661003	-0.4523902	1.948213	3.192018	0.9811292
5699	0.3472263	-0.7597518	-0.2343658	-2.509934	-0.5592474	0.2691772	1.108462	-0.438972	-0.8333578
8061	-1.017392	-0.2914075	0.9315156	1.047353	-0.4658122	-0.5032353	-1.017425	-1.277191	0.2970444
1870	0.4556693	-0.6049253	1.387521	1.992142	1.419699	0.2481118	-0.005580902	-0.2047153	-0.2341358
1398	-3.203211	0.2301066	-1.219015	-0.4213159	-4.956412	-1.724262	-4.873753	0.04701696	-0.1253978
3312	0.01719183	-0.6531373	-2.798116	-1.245458	-0.1588653	0.736927	-1.053548	0.1454131	-1.015211
891	0.4789443	-1.149106	-1.335759	-0.9457878	0.7849094	0.7218027	0.3290066	-0.8032025	-0.08391797
4775	-0.004034769	0.4792122	1.019598	1.240078	0.6666275	0.3033477	0.376341	-0.184012	2.770753
5111	-0.1081709	-0.1795664	-0.5488162	-2.434437	-0.90167	0.6779686	-2.285183	0.0003450307	-0.1507968
5696	-0.4716604	-1.068829	1.541788	-2.199921	-0.4599742	-0.7394273	-1.730638	0.1758142	0.6759351
5588	-0.1687118	-0.4063525	1.078018	0.1055636	2.384265	0.2188015	0.2319943	-1.230078	1.755296
6839	-1.222213	-0.6993996	-1.329839	-0.6079413	-0.8261292	-0.6824296	-1.067296	0.6809102	-0.6703969
329	-0.8146651	-0.007206053	-0.3014292	-1.247737	-1.158065	-0.2666313	0.7611648	0.2146453	-0.2130913
