sig_id	DER001.HCC515.96H.TRCN0000262375..666	DER001.HCC515.96H.TRCN0000196310..666	DER001.HCC515.96H.TRCN0000280031..666	DER001.HCC515.96H.TRCN0000194822..666	DER001.HCC515.96H.TRCN0000002922..666	DER001.HCC515.96H.TRCN0000196572..666	DER001.HCC515.96H.TRCN0000006168..666	DER001.HCC515.96H.TRCN0000006178..666	DER001.HCC515.96H.TRCN0000230573..666
pert_id	TRCN0000262375	TRCN0000196310	TRCN0000280031	TRCN0000194822	TRCN0000002922	TRCN0000196572	TRCN0000006168	TRCN0000006178	TRCN0000230573
pert_iname	EIF2AK3	PTK2	MELK	PIK3C2A	PTP4A1	RIOK3	GNE	PGK1	ALDH9A1
pert_type	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh
cell_id	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515
pert_dose	2	2	2	2	2	2	2	2	2
pert_dose_unit	µL	µL	µL	µL	µL	µL	µL	µL	µL
pert_idose	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL
pert_time	96	96	96	96	96	96	96	96	96
pert_time_unit	h	h	h	h	h	h	h	h	h
pert_itime	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h
distil_id	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:I15|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:I15|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:I15	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:L21|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:L21|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:L21	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:O10|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:O10|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:O10	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:H24|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:H24|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:H24	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:E01|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:E01|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:E01	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:H23|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:H23|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:H23	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:C03|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:C03|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:C03	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:N19|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:N19|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:N19	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:F18|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:F18|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:F18
region	CDS	CDS	CDS	CDS	CDS	CDS	3UTR	3UTR	CDS
NCBI_geneId	9451	5747	9833	5286	7803	8780	10020	5230	223
6790	-0.2732252	0.2034231	-0.762113	0.4533707	-0.5494992	1.161853	-0.4928731	1.047483	-1.095427
8851	-0.4976681	0.05566034	0.07722204	-1.380464	1.00829	2.479998	-1.350896	0.2695002	2.305949
2534	-0.07770306	0.1885619	0.4033658	-0.5207127	1.16872	-1.075038	-0.1335703	0.2746989	-0.9358059
4893	-0.6700091	-0.7291107	-0.05299371	-1.236696	1.484	-0.08283091	-0.1716429	-0.05595642	-0.009128518
665	-0.04136388	-0.6527621	-0.4893207	-2.527819	-0.3175724	-1.502519	0.4826483	0.2299545	-0.2777915
4313	-0.04051212	-0.2446621	-0.1144388	0.2445289	1.002777	-0.3795955	0.1686258	-2.141741	-0.6964064
1022	0.2729819	0.6450281	-0.08544576	1.220284	1.593677	-0.2489444	0.03769082	-0.3571782	0.7835669
5880	0.2873496	0.4386081	0.5843159	1.22478	2.621479	-0.684451	0.3151992	-0.4680095	0.2856627
3162	-0.5764957	-0.4279319	-0.1751404	0.8762134	-0.5709565	0.01238056	0.9739972	-0.5398951	0.0385932
1282	0.2634546	0.1366597	-0.1820178	-4.572086	0.0589208	0.5198507	-0.5835554	0.03668498	-0.9209265
3383	-0.6332668	-0.8656896	0.2537124	-0.4623057	0.8806288	-0.9513806	1.031059	-0.8052205	0.5970394
727	0.6822454	0.6838862	-0.09271114	1.767303	-1.477242	1.097058	0.2496942	0.106804	-0.1688411
4792	0.4078154	1.31234	-0.6876112	1.119701	-2.036129	2.056713	0.6589442	0.64416	-0.2210716
4794	-0.07108426	-0.2855033	0.2778553	-0.6122608	2.085969	-0.1334638	-0.1124754	-1.229048	-0.5202659
902	-0.2268235	-1.614261	0.1836348	-1.023953	1.062797	-0.5011472	0.2252335	-0.1512656	-1.114544
8091	-0.8146123	0.2229774	0.2557386	0.09315064	1.211263	-0.03578059	0.04355848	0.3930371	0.1747416
3486	1.418848	1.193757	-1.430083	-2.187554	0.4718865	0.2545052	-0.6507277	-0.534859	0.8301134
10818	-0.8293623	-0.8430464	0.02082504	0.369241	3.981013	0.2230604	0.9445363	-0.4088199	-0.2700329
3454	-0.3913566	-1.106443	0.4796138	-0.6818575	2.086992	-0.7115353	0.6913542	-0.764268	0.8395044
4282	-1.105355	-0.3847549	0.7167951	-1.069222	-4.343811	-0.5257199	0.2359386	0.2744343	-1.736748
1605	-0.7225592	0.3467803	-0.002183199	-0.4972937	0.3269011	0.9172783	-0.4321603	1.010843	0.7649994
10644	-0.02964482	-1.22525	1.110674	-0.4841006	2.918538	0.0165242	0.9480427	-0.1319725	1.475551
2065	-0.1602418	-0.4917605	-0.4499975	-1.977495	1.644809	-1.335445	-0.2100787	-0.6263759	2.63431
8321	0.07906757	0.0986	-0.6326476	-0.8692424	1.504415	-0.4007522	-0.2750499	-0.6498879	0.9816241
8503	-0.2620443	0.4294974	-0.1095227	-0.8439071	-1.408966	0.5901309	1.698216	0.1514923	-1.963354
7027	0.3130504	0.2597053	-1.239334	0.4913556	0.6931551	0.7163463	0.2437828	0.2493164	-0.8373841
6850	0.003224	-0.5284885	-0.2411278	-1.012793	1.612361	-0.7302433	-0.3658315	-0.4831497	-0.6913936
