genesymbol	entrezgene	A549_LUNG	HCC515_LUNG
ACSS3	79611	-0.172478375514429	0.13331197581672
ACTA1	58	-0.16933060614275	-0.151925872988492
ACTA2	59	-0.21323508875691	0.00828507356021588
ACTB	60	-0.22807363414574	-0.175005134018417
ACTBL2	345651	-0.331223867846259	-0.132391959716438
ACTC1	70	-0.250729030615179	0.00509458915531022
ACTG1	71	0.0185399673065707	-0.225951025571519
ACTG2	72	-0.183820859722188	0.0423848131628018
ACTL6A	86	0.22279339888448	-0.10180142438207
ACTL6B	51412	NA	NA
ACTL7A	10881	NA	NA
ACTL7B	10880	NA	NA
ACTL8	81569	NA	NA
ACTL9	284382	NA	NA
ACTN1	87	-0.184389298241291	-0.138073059135678
ACTN2	88	-0.253239360260233	0.0465413144730033
ACTN3	89	-0.359609650311738	-0.212137640980146
ACTN4	81	-0.0526068491912894	-0.163547647798122
ACTR10	55860	0.409198518116924	0.271590395689067
ACTR1A	10121	0.182588695302168	0.207573703968391
ACTR1B	10120	0.364597451883979	0.287273384427085
ACTR2	10097	-0.140557102606438	-0.279118098852444
ACTR3	10096	0.00124695039306045	-0.219110048711567
ACTR3B	57180	0.241873875649967	0.045650870318802
ACTR3C	653857	0.281559427289978	0.349216754150341
ACTR5	79913	0.185539318366643	-0.0293172987670141
ACTR6	64431	0.414942047200112	0.0496693692139612
ACTR8	93973	-0.289856001051447	-0.254126518642648
ACTRT1	139741	NA	NA
ACTRT2	140625	NA	NA
ACVR1	90	-0.2056909567346	-0.0430649679226529
ACVR1B	91	-0.130689929930917	0.0445567083138241
ACVR1C	130399	-0.212292072254122	-0.311289090416225
ACVR2A	92	-0.0728209172231943	0.131600088715838
ACVR2B	93	-0.0630391746141272	-0.251951337719839
ACVRL1	94	-0.366473627574197	-0.0371111494451153
ACY1	95	0.427582411263626	0.277560643025539
ACY3	91703	-0.171854078874952	0.116929117688131
ACYP1	97	0.279597821533305	0.00690504940979324
ACYP2	98	0.0168379375210495	0.287792536369386
ADA	100	-0.00982610052818782	-0.218919473947937
ADAD1	132612	NA	NA
ADAD2	161931	NA	NA
ADAL	161823	0.307191732998185	0.156065945439759
ADAM10	102	-0.106381790252758	-0.151554580776592
ADAM11	4185	-0.183111133016256	-0.251833049935517
ADAM12	8038	-0.2711369591825	-0.179503355594437
ADAM15	8751	-0.0718220426000312	0.0101053911300591
ADAM17	6868	-0.053434863681543	-0.328568964242589
ADAM18	8749	NA	NA
ADAM19	8728	-0.395851713119265	-0.225941168256159
ADAM2	2515	NA	NA
ADAM20	8748	-0.263139390653622	0.0230743323722451
ADAM21	8747	-0.162082193581245	-0.315333875485678
ADAM21P1	145241	NA	NA
ADAM22	53616	-0.292428760360449	-0.314998726763433
ADAM23	8745	-0.251921765773758	-0.0670675308246466
ADAM28	10863	-0.250594313971923	0.0274312657614365
ADAM29	11086	-0.502803584777019	-0.134077560643026
ADAM30	11085	NA	NA
ADAM32	203102	0.352932962041121	0.129290191149774
ADAM33	80332	-0.314469717505771	0.0145806123035725
ADAM3A	1587	NA	NA
ADAM5P	255926	NA	NA
ADAM6	8755	-0.46175443784552	-0.0821492233256939
ADAM7	8756	NA	NA
ADAM8	101	-0.431400478079795	-0.143432152919819
ADAM9	8754	-0.067721399410204	-0.116216105210413
ADAMDEC1	27299	-0.364774883560462	-0.361935976736736
ADAMTS1	9510	-0.279239672408553	-0.0191938358921281
ADAMTS10	81794	-0.281092847696263	0.0680729769913831
ADAMTS12	81792	-0.255628116349179	-0.147227219333481
ADAMTS13	11093	-0.195025341514905	0.115282946022984
ADAMTS14	140766	-0.364153872692772	-0.147703656242556
ADAMTS15	170689	-0.257928156599883	-0.0182705340200596
ADAMTS16	170690	-0.280629553874336	-0.0446027091188382
ADAMTS17	170691	-0.313562844492636	-0.026156386308189
ADAMTS18	170692	-0.0956504595973287	0.00144081092847696
ADAMTS19	171019	NA	NA
ADAMTS2	9509	-0.310454504382398	-0.146248059341038
ADAMTS20	80070	NA	NA
ADAMTS3	9508	-0.228382496693692	-0.143760730098491
ADAMTS4	9507	-0.233087721892276	-0.158901566491699
ADAMTS5	11096	-0.0393159023140048	-0.127072295193737
ADAMTS6	11174	-0.0953941693979645	-0.143074003795066
ADAMTS7	11173	-0.194332043667907	0.0421252371916509
ADAMTS8	11095	-0.203108340110238	0.095423741344045
ADAMTS9	56999	-0.251708190607621	-0.0994849552724316
ADAMTSL1	92949	-0.264512843260471	-0.0613962887207669
ADAMTSL2	9719	-0.274071153388041	0.0315220516359036
ADAMTSL3	57188	-0.174669985296171	0.087639747981304
ADAMTSL4	54507	-0.371362855992837	-0.0285254277664145
ADAMTSL5	339366	-0.147345507117803	-0.0772139941020396
ADAP1	11033	0.135319582378406	0.288554835423906
ADAP2	55803	-0.41359159499577	-0.160455736546818
ADAR	103	-0.326383926004419	-0.468332552962534
ADARB1	104	-0.312560684097686	-0.0365985690463869
ADARB2	105	-0.413223588555657	-0.133985559032997
ADAT1	23536	-0.197216951296648	-0.108527399229487
ADAT2	134637	-0.284989773035314	-0.0239844911571667
ADAT3	113179	0.188118649219219	0.244551779656144
ADC	113451	-0.336461388074291	0.0558564774883561
ADCK1	57143	0.0168379375210495	0.246907678027223
ADCK2	90956	-0.132497104413613	-0.0114952725958419
ADCK4	79934	0.301536919753239	0.331352012945941
ADCK5	203054	0.230748252380131	0.198455687260241
ADCY1	107	-0.33351733655339	-0.1812941012182
ADCY10	55811	-0.126240994931697	0.116544682389085
ADCY2	108	-0.122117351339363	0.16400108430469
ADCY3	109	-0.385268242194238	-0.334591783927647
ADCY4	196883	-0.284874771022779	0.0606635616123282
ADCY5	111	-0.294594083967898	-0.0254400880586839
ADCY6	112	-0.192616870795239	0.0999646779532928
ADCY7	113	-0.51705069124424	-0.204416077281352
ADCY8	114	NA	NA
ADCY9	115	-0.329206403969212	-0.0393619031190189
ADCYAP1	116	-0.376909238768821	-0.0685921289336849
ADCYAP1R1	117	NA	NA
ADD1	118	-0.228251065822223	-0.0272899775746076
ADD2	119	-0.318741220828507	-0.0639526191708355
ADD3	120	-0.136650319952028	-0.0490220721719773
ADH1A	124	-0.222251246539672	0.0617182943558655
ADH1B	125	-0.230186385404602	0.0611728562392699
ADH1C	126	0.178767342714212	0.361222964259017
ADH4	127	NA	NA
ADH5	128	0.457450076804916	0.298681584070578
ADH6	130	0.159644150915498	0.386303260307055
ADH7	131	NA	NA
ADHFE1	137872	-0.170296623048046	0.164102943230078
ADI1	55256	0.335912664185909	0.296532689322063
ADIG	149685	NA	NA
ADIPOQ	9370	NA	NA
ADIPOR1	51094	0.296414401537741	0.271521394481546
ADIPOR2	79602	0.273630859968621	-0.10710137427405
ADK	132	0.00962238267741114	-0.141631549980696
ADM	133	0.0206987193704461	-0.183811002406828
ADM2	79924	-0.108425540304098	0.184642302668868
ADNP	23394	-0.0839465404930301	-0.335219366338911
ADNP2	22850	-0.214868117334911	-0.444366133550194
ADO	84890	0.0643041967520146	-0.162759062569309
ADORA1	134	-0.335692517476199	-0.0919473947936946
ADORA2A	135	-0.499123520375892	-0.136844180487444
ADORA2B	136	0.0571773577466177	-0.0508095320239533
ADORA3	140	-0.378476551911087	-0.096399615564701
ADPGK	83440	-0.0618201532812539	0.0776937167829009
ADPRH	141	-0.350636207562204	-0.0365229962952923
ADPRHL1	113622	0.457440219489555	0.282246153593402
ADPRHL2	54936	0.0453518650862104	0.0945332971898437
ADRA1A	148	NA	NA
ADRA1B	147	-0.228214922332569	-0.0397003376130511
ADRA1D	146	-0.121029760877958	0.15567493859714
ADRA2A	150	-0.224971865579076	0.0824515143300722
ADRA2B	151	-0.275891470957885	0.00685904860477916
ADRA2C	152	0.1422492750766	0.360526380640233
ADRB1	153	-0.0212605863459753	0.209472880061115
ADRB2	154	-0.333734197491313	-0.0273031206617544
ADRB3	155	-0.321465125639699	-0.0293370133977345
ADRBK1	156	-0.568561735544658	-0.311151088001183
ADRBK2	157	-0.383631927844452	-0.0688484191330491
ADRM1	11047	0.262005799387204	0.0391220417785883
ADSL	158	0.356044587923146	0.0882213295875535
ADSS	159	0.189699105448631	-0.0467121746059127
ADSSL1	122622	0.391090629800307	0.330625857381076
AEBP1	165	-0.28678709020265	-0.05589262097801
AEBP2	121536	-0.0551927515874385	-0.388471869686291
AEN	64782	0.490922233996238	0.285959075712396
AES	166	-0.020794006752261	0.290739873662075
AFAP1	60312	-0.255618259033819	-0.192432867575183
AFAP1L1	134265	-0.253347790729195	-0.0218553110393718
AFAP1L2	84632	-0.370212835867485	-0.200450150734781
AFARP1	246182	0.231408692509262	-0.079021168584736
AFF1	4299	-0.419880562195553	-0.183788002004321
AFF2	2334	-0.165893688853841	0.0965409037515299
AFF3	3899	-0.143185720035815	0.131859664686989
AFF4	27125	-0.21887675891471	-0.149004821870097
AFG3L1	172	-0.0616361500611975	0.0273096922053279
AFG3L2	10939	0.240855286396083	-0.0982725054831317
AFM	173	NA	NA
AFMID	125061	0.446268595414705	0.20815528557464
AFP	174	NA	NA
AFTPH	54812	0.0204194287685749	-0.0513943994019895
AG2	387763	-0.184915021727166	0.171919794310686
AGA	175	0.35752318522717	0.34960776099296
AGAP1	116987	-0.0986010826618037	-0.136052309486845
AGAP11	119385	-0.274127011508416	0.0443201327451802
AGAP2	116986	-0.487475459391968	-0.184142865357287
AGAP3	116988	-0.33922800791871	-0.0289394350115413
AGAP4	119016	-0.182585409530381	0.0790047397258024
AGAP5	729092	-0.175474999383918	0.091648389561103
AGAP6	414189	-0.13050592671086	0.105254770529913
AGAP7	653268	-0.271882829378086	0.0528992828803075
AGAP8	728404	-0.20894715657524	-0.0204325718557218
AGBL1	123624	NA	NA
AGBL2	79841	-0.257928156599883	0.032093775926793
AGBL3	340351	-0.144408027140475	0.062924172601592
AGBL4	84871	0.0922299711673526	0.158845708371325
AGBL5	60509	0.392447653548223	0.0525477052991285
AGER	177	-0.243740194024824	0.0709151695868963
AGFG1	3267	0.453313290125434	0.073070635878985
AGFG2	3268	-0.216488002825764	0.15813926743718
AGGF1	55109	-0.230271815471056	-0.16626498106574
AGK	55750	0.128849897730353	-0.151912729901345
AGL	178	-0.0629800307219662	-0.107305092124826
AGMAT	79814	0.343440367349286	0.0397923392230793
AGPAT1	10554	-0.0306348932534891	0.116505253127644
AGPAT2	10555	0.109605132375531	0.24145001108948
AGPAT3	56894	-0.469883437245866	-0.1345539975521
AGPAT4	56895	-0.294715657524007	-0.0293600138002415
AGPAT5	55326	0.343532368959314	-0.0859147177932757
AGPAT6	137964	0.0172059439611622	-0.148465955297075
AGPAT9	84803	0.427621840525066	0.114169069387286
AGPHD1	123688	0.429813450306809	0.270732809252733
AGPS	8540	0.145814337465191	-0.233813877457141
AGR2	10551	0.399880069329785	0.453832442067736
AGR3	155465	0.111343305650706	0.377530249636512
AGRN	375790	-0.34595069699434	-0.103418024101136
AGRP	181	-0.137813483164527	0.174679842611531
AGT	183	0.0613995744925536	0.349772049582296
AGTPBP1	23287	-0.420869579503356	-0.320860543630942
AGTR1	185	-0.159177571321784	0.134537568693166
AGTR2	186	-0.210044604352005	0.0579133706268431
AGTRAP	57085	0.236051488043898	0.274685592712158
AGXT	189	NA	NA
AGXT2	64902	NA	NA
AGXT2L1	64850	NA	NA
AGXT2L2	85007	-0.32254614455753	0.0836902502936658
AHCTF1	25909	0.180594231827628	-0.173339247722549
AHCY	191	0.410318966296196	0.10589878180011
AHCYL1	10768	-0.131379942006128	0.0461043068253694
AHCYL2	23382	0.0981115026655824	0.29148574385766
AHDC1	27245	-0.352193663389109	-0.1325003901854
AHI1	54806	-0.0334146561850547	0.0833583873432071
AHNAK	79026	-0.343693371776863	-0.101269129352621
AHNAK2	113146	-0.110919441090219	-0.138769642754462
AHR	196	-0.287181382817056	-0.0788995950286273
AHRR	57491	-0.423094047002965	-0.271685683070882
AHSA1	10598	0.407227055044892	0.0864437270509377
AHSA2	130872	-0.302470078940667	0.0155959157856691
AHSG	197	NA	NA
AHSP	51327	NA	NA
AICDA	57379	-0.37867369821829	-0.0819520770184907
AIDA	64853	0.0059390325044974	0.173411534701857
AIF1	199	-0.32052210913691	-0.100040250704387
AIF1L	83543	0.207156410951477	-0.0434066881884719
AIFM1	9131	0.298086859377182	0.262823956562097
AIFM2	84883	0.43778801843318	0.241453296861267
AIFM3	150209	-0.226512892547048	0.121256479131242
AIG1	51390	0.276302192431225	0.117730846004091
AIM1	202	-0.399827496981197	-0.269201639600122
AIM1L	55057	0.137498049073002	-0.0417605165233249
AIM2	9447	-0.375667217033441	-0.329666412019353
AIMP1	9255	0.386855269967224	0.0562606274181227
AIMP2	7965	0.346285845716586	0.0351791156345236
AIP	9049	0.214720257604508	0.14023509697134
AIPL1	23746	NA	NA
AIRE	326	NA	NA
AJAP1	55966	-0.215232838003236	0.0829279512391467
AK1	203	-0.119827168404019	0.198941981484676
AK2	204	0.216879009668383	0.193323311729384
AK3	50808	0.0579790860625775	0.213603095197023
AK3L1	205	0.10549791764213	-0.21748359167714
AK5	26289	-0.0565793472814346	-0.0320149174039117
AK7	122481	0.0237084863270822	0.246165093603424
AKAP1	8165	0.0489530709644562	0.157922406499257
AKAP10	11216	-0.169784042649318	-0.0732184956093875
AKAP11	11215	-0.289192275150529	-0.111957744974823
AKAP12	9590	-0.109220697076485	0.016384501014482
AKAP13	11214	-0.171012921297551	0.0722557644758783
AKAP14	158798	NA	NA
AKAP2	11217	-0.385715107157232	-0.189459244108201
AKAP3	10566	-0.348861890797375	0.00508801761173678
AKAP4	8852	NA	NA
AKAP5	9495	-0.351638367957154	-0.347202576045081
