Run,patient
SRR2128817,MMRF_1614_1_BM_CD138pos_T2_TSMRU_L03889
SRR2128818,MMRF_1617_1_BM_CD138pos_T2_TSMRU_L03890
SRR2128819,MMRF_1618_1_BM_CD138pos_T2_TSMRU_L03891
SRR2128820,MMRF_1621_1_BM_CD138pos_T2_TSMRU_L03892
SRR2128821,MMRF_1624_1_BM_CD138pos_T2_TSMRU_L04221
SRR2128822,MMRF_1625_1_BM_CD138pos_T2_TSMRU_L03894
SRR2128823,MMRF_1627_1_BM_CD138pos_T2_TSMRU_L04222
SRR2128824,MMRF_1630_1_BM_CD138pos_T2_TSMRU_L04223
SRR2128825,MMRF_1633_1_BM_CD138pos_T2_TSMRU_L04224
SRR2128826,MMRF_1634_1_BM_CD138pos_T2_TSMRU_L03895
SRR2128827,MMRF_1637_1_BM_CD138pos_T2_TSMRU_L04225
SRR2128828,MMRF_1639_1_BM_CD138pos_T2_TSMRU_L04226
SRR2128829,MMRF_1640_1_BM_CD138pos_T2_TSMRU_L04227
SRR2128830,MMRF_1641_1_BM_CD138pos_T2_TSMRU_L04228
SRR2128831,MMRF_1643_1_BM_CD138pos_T2_TSMRU_L04229
SRR2128832,MMRF_1644_1_BM_CD138pos_T2_TSMRU_L04230
SRR2128833,MMRF_1645_1_BM_CD138pos_T2_TSMRU_L04584
SRR2128834,MMRF_1648_1_BM_CD138pos_T2_TSMRU_L04569
SRR2128835,MMRF_1651_1_BM_CD138pos_T2_TSMRU_L04231
SRR2128836,MMRF_1652_1_BM_CD138pos_T2_TSMRU_L04232
SRR3163644,MMRF_1654_1_BM_CD138pos_T2_TSMRU_L05336
SRR2128837,MMRF_1656_1_BM_CD138pos_T2_TSMRU_L04234
SRR2128838,MMRF_1659_1_BM_CD138pos_T2_TSMRU_L04581
SRR2128839,MMRF_1664_1_BM_CD138pos_T2_TSMRU_L04235
SRR2128840,MMRF_1665_1_BM_CD138pos_T2_TSMRU_L04233
SRR2128841,MMRF_1668_1_BM_CD138pos_T2_TSMRU_L04236
SRR2128842,MMRF_1670_1_BM_CD138pos_T3_TSMRU_L04981
SRR2128843,MMRF_1671_1_BM_CD138pos_T2_TSMRU_L04237
SRR2128844,MMRF_1672_1_BM_CD138pos_T3_TSMRU_L04982
SRR2128845,MMRF_1677_1_BM_CD138pos_T2_TSMRU_L04571
SRR2128846,MMRF_1678_1_BM_CD138pos_T2_TSMRU_L05337
SRR3163645,MMRF_1682_1_BM_CD138pos_T2_TSMRU_L05338
SRR2128847,MMRF_1683_1_BM_CD138pos_T2_TSMRU_L04564
SRR2129723,MMRF_1686_1_BM_CD138pos_T2_TSMRU_L05985
SRR2128848,MMRF_1689_1_BM_CD138pos_T2_TSMRU_L04582
SRR2129725,MMRF_1690_1_BM_CD138pos_T2_TSMRU_L05986
SRR2128849,MMRF_1694_1_BM_CD138pos_T2_TSMRU_L04577
SRR2128850,MMRF_1695_1_BM_CD138pos_T2_TSMRU_L04563
SRR2129726,MMRF_1698_1_BM_CD138pos_T2_TSMRU_L05987
SRR2128851,MMRF_1700_1_BM_CD138pos_T2_TSMRU_L05244
SRR2128852,MMRF_1705_1_BM_CD138pos_T2_TSMRU_L05339
SRR2128853,MMRF_1710_1_BM_CD138pos_T2_TSMRU_L05329
SRR2128855,MMRF_1713_1_BM_CD138pos_T2_TSMRU_L04579
SRR2128856,MMRF_1714_1_BM_CD138pos_T2_TSMRU_L04565
SRR2128857,MMRF_1715_1_BM_CD138pos_T2_TSMRU_L04586
SRR2128858,MMRF_1716_1_BM_CD138pos_T2_TSMRU_L05340
SRR2128859,MMRF_1718_1_BM_CD138pos_T2_TSMRU_L04583
SRR2128860,MMRF_1719_1_BM_CD138pos_T3_TSMRU_L04983
SRR2128861,MMRF_1720_1_BM_CD138pos_T2_TSMRU_L04585
SRR2128862,MMRF_1721_1_BM_CD138pos_T2_TSMRU_L04568
SRR2128863,MMRF_1722_1_BM_CD138pos_T2_TSMRU_L04580
SRR2128864,MMRF_1726_1_BM_CD138pos_T2_TSMRU_L04588
SRR3163507,MMRF_1727_1_BM_CD138pos_T2_TSMRU_L06655
SRR2128865,MMRF_1730_1_BM_CD138pos_T2_TSMRU_L04566
SRR2129727,MMRF_1731_1_BM_CD138pos_T2_TSMRU_L05988
SRR2128866,MMRF_1733_1_BM_CD138pos_T3_TSMRU_L04984
SRR2128867,MMRF_1735_1_BM_CD138pos_T2_TSMRU_L04574
SRR2128868,MMRF_1736_1_BM_CD138pos_T3_TSMRU_L04985
SRR2129728,MMRF_1738_1_BM_CD138pos_T2_TSMRU_L06656
SRR2128869,MMRF_1739_1_BM_CD138pos_T2_TSMRU_L04576
SRR2128870,MMRF_1744_1_BM_CD138pos_T2_TSMRU_L04573
SRR2128871,MMRF_1750_1_BM_CD138pos_T3_TSMRU_L04986
SRR2129729,MMRF_1755_1_BM_CD138pos_T2_TSMRU_L08162
SRR2128872,MMRF_1758_1_BM_CD138pos_T2_TSMRU_L04567
SRR2128873,MMRF_1759_1_BM_CD138pos_T2_TSMRU_L05330
SRR2128874,MMRF_1766_1_BM_CD138pos_T2_TSMRU_L05317
SRR2128875,MMRF_1768_1_BM_CD138pos_T3_TSMRU_L04988
SRR2128876,MMRF_1771_1_BM_CD138pos_T3_TSMRU_L04989
SRR2128877,MMRF_1773_1_BM_CD138pos_T3_TSMRU_L04990
SRR2128878,MMRF_1775_1_BM_CD138pos_T3_TSMRU_L04991
SRR2128879,MMRF_1777_1_BM_CD138pos_T3_TSMRU_L04992
SRR2128880,MMRF_1778_1_BM_CD138pos_T4_TSMRU_L04993
SRR2129730,MMRF_1780_1_BM_CD138pos_T2_TSMRU_L05989
SRR2128882,MMRF_1782_1_BM_CD138pos_T3_TSMRU_L04994
SRR2128883,MMRF_1783_1_BM_CD138pos_T2_TSMRU_L05251
SRR2128884,MMRF_1785_1_BM_CD138pos_T3_TSMRU_L04995
SRR2128885,MMRF_1786_1_BM_CD138pos_T2_TSMRU_L05245
SRR2128886,MMRF_1787_1_BM_CD138pos_T3_TSMRU_L04996
SRR3163669,MMRF_1790_1_BM_CD138pos_T2_TSMRU_L06654
SRR2128887,MMRF_1792_1_BM_CD138pos_T3_TSMRU_L04997
SRR2128888,MMRF_1793_1_BM_CD138pos_T3_TSMRU_L04998
SRR2128889,MMRF_1795_1_BM_CD138pos_T3_TSMRU_L05000
SRR2128890,MMRF_1796_1_BM_CD138pos_T3_TSMRU_L05001
SRR2128891,MMRF_1797_1_BM_CD138pos_T3_TSMRU_L04999
SRR2128892,MMRF_1801_1_BM_CD138pos_T2_TSMRU_L05246
SRR2128893,MMRF_1802_1_BM_CD138pos_T3_TSMRU_L05002
SRR4189733,MMRF_1805_1_BM_CD138pos_T2_TSMRU_L14996
SRR2128894,MMRF_1807_1_BM_CD138pos_T2_TSMRU_L05247
SRR2128895,MMRF_1808_1_BM_CD138pos_T3_TSMRU_L05003
SRR2128896,MMRF_1810_1_BM_CD138pos_T3_TSMRU_L05004
SRR2129731,MMRF_1814_1_BM_CD138pos_T3_TSMRU_L07168
SRR2129732,MMRF_1815_1_BM_CD138pos_T3_TSMRU_L05005
SRR2128897,MMRF_1817_1_BM_CD138pos_T2_TSMRU_L05318
SRR2128898,MMRF_1819_1_BM_CD138pos_T2_TSMRU_L05248
SRR2128899,MMRF_1822_1_BM_CD138pos_T3_TSMRU_L05006
SRR2128900,MMRF_1823_1_BM_CD138pos_T3_TSMRU_L05007
