hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
PDHB	5162	ENSG00000168291	44	19	BICR6|AGS|LCLC103H|ES2|KELLY|PC3|HS944T|A549|U251MG|HT29|KYSE30|HCC1806|YAPC|SNGM|SNU761|IPC298|DANG|A375|MCF7	36	13	ES2|MCF7|BICR6|HT29|SNGM|AGS|HS944T|A549|A375|KELLY|DANG|U251MG|NA	9	7	HT29|PC3|ES2|A549|HCC1806|BICR6|U251MG
PDHX	8050	ENSG00000110435	NA	NA	NA	90	16	HT29|U251MG|A375|SNU761|MCF7|ES2|AGS|YAPC|BICR6|A549|IPC298|SNGM|PC3|LCLC103H|HCC1806|KYSE30	9	5	U251MG|A375|YAPC|A549|HT29
PDIA2	64714	ENSG00000185615	NA	NA	NA	8	7	TF1|HCC44|A375|ES2|A549|MCF7|HT29	NA	NA	NA
PDIA4	9601	ENSG00000155660	NA	NA	NA	27	1	NA	8	5	A549|YAPC|MCF7|U251MG|HT29
PDIA5	10954	ENSG00000065485	NA	NA	NA	47	16	PC3|A549|BICR6|DANG|KELLY|MCF7|HT29|AGS|SNGM|ES2|A375|KYSE30|U251MG|SNU761|YAPC|HCC1806	8	6	HT29|A549|YAPC|HS944T|LCLC103H|PC3
PDIK1L	149420	ENSG00000175087-bioMart	20	10	MCF7|YAPC|A375|U251MG|BICR6|ES2|PC3|A549|AGS|HT29	10	1	NA	1	1	PC3
PDILT	204474	ENSG00000169340-bioMart	18	9	BICR6|U251MG|A375|HT29|ES2|AGS|A549|PC3|YAPC	NA	NA	NA	NA	NA	NA
PDK1	5163	ENSG00000152256	20	10	A375|YAPC|A549|U251MG|MCF7|AGS|PC3|ES2|HT29|BICR6	37	1	NA	10	6	A375|A549|MCF7|U251MG|PC3|ES2
PDK2	5164	ENSG00000005882	18	9	BICR6|PC3|HT29|AGS|YAPC|A375|U251MG|ES2|A549	36	9	PC3|AGS|U251MG|BICR6|ES2|A375|HT29|HCC1806|NA	9	8	HT29|AGS|YAPC|A549|BICR6|HCC1806|A375|ES2
PDK3	5165	ENSG00000067992	20	10	HT29|BICR6|ES2|MCF7|A549|PC3|AGS|YAPC|U251MG|A375	9	1	NA	NA	NA	NA
PDK4	5166	ENSG00000004799	20	10	MCF7|A375|U251MG|ES2|PC3|A549|BICR6|YAPC|HT29|AGS	4	1	NA	1	1	ES2
PDLIM1	9124	ENSG00000107438	42	18	HT29|LCLC103H|U251MG|DANG|A549|KYSE30|IPC298|ES2|A375|HS944T|PC3|KELLY|HCC1806|SNU761|AGS|BICR6|SNGM|YAPC	30	12	PC3|MCF7|U251MG|LCLC103H|AGS|BICR6|HT29|HS944T|YAPC|ES2|A549|A375	9	6	ES2|AGS|PC3|A375|YAPC|SNU761
PDLIM4	8572	ENSG00000131435	18	9	A549|PC3|BICR6|YAPC|AGS|HT29|ES2|U251MG|A375	27	12	MCF7|U251MG|A375|A549|ES2|HT29|YAPC|BICR6|AGS|SNU761|SNGM|NA	9	6	PC3|MCF7|AGS|BICR6|A375|A549
PDPK1	5170	ENSG00000140992	20	10	BICR6|AGS|A549|HT29|U251MG|YAPC|A375|MCF7|ES2|PC3	134	14	NPC|A375|MCF7|ES2|PC3|BICR6|YAPC|KYSE30|HT29|A549|AGS|IPC298|U251MG|NA	25	11	HT29|SNGM|ES2|AGS|YAPC|PC3|IPC298|U251MG|A549|HS944T|A375
PDPN	10630	ENSG00000162493	18	9	U251MG|PC3|A375|ES2|A549|BICR6|YAPC|HT29|AGS	NA	NA	NA	NA	NA	NA
PDS5A	23244	ENSG00000121892	42	18	U251MG|IPC298|HCC1806|HT29|YAPC|A549|KELLY|DANG|AGS|ES2|A375|SNGM|SNU761|KYSE30|HS944T|LCLC103H|PC3|BICR6	47	12	U251MG|PC3|YAPC|A549|A375|HT29|MCF7|AGS|BICR6|KYSE30|ES2|DANG	9	7	AGS|PC3|HS944T|HT29|MCF7|YAPC|DANG
PDS5B	23047	ENSG00000083642	4	4	K562|U937|TF1|THP1	46	13	HT29|PC3|MCF7|A375|AGS|U251MG|ES2|BICR6|A549|HCC1806|SNGM|HS944T|YAPC	2	2	A549|BICR6
PDSS2	57107	ENSG00000164494	18	9	A549|HT29|BICR6|U251MG|PC3|AGS|A375|YAPC|ES2	NA	NA	NA	NA	NA	NA
PDX1	3651	ENSG00000139515	NA	NA	NA	30	10	DANG|YAPC|A549|AGS|U251MG|HT29|SNU761|MCF7|ES2|NA	NA	NA	NA
PDXDC1	23042	ENSG00000179889	29	10	HT29|ES2|MCF7|YAPC|U251MG|A375|PC3|BICR6|A549|AGS	NA	NA	NA	NA	NA	NA
PDXK	8566	ENSG00000160209	20	10	ES2|PC3|YAPC|MCF7|AGS|A375|BICR6|U251MG|A549|HT29	44	15	AGS|HT29|HS944T|PC3|A549|ES2|YAPC|A375|SNGM|U251MG|MCF7|BICR6|KELLY|DANG|NA	9	8	AGS|MCF7|HT29|PC3|BICR6|SNGM|ES2|DANG
