hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
CDK5R2	8941	ENSG00000171450	NA	NA	NA	10	1	NA	NA	NA	NA
CDK6	1021	ENSG00000105810	20	10	A549|U251MG|A375|PC3|MCF7|HT29|BICR6|AGS|YAPC|ES2	192	12	HT29|U251MG|LCLC103H|AGS|ES2|A549|YAPC|PC3|A375|BICR6|MCF7|NA	4	4	A375|U251MG|ES2|A549
CDK7	1022	ENSG00000134058	128	19	PC3|BICR6|YAPC|AGS|MCF7|KELLY|A375|HT29|SNU761|KYSE30|U251MG|HS944T|ES2|DANG|A549|LCLC103H|HCC1806|IPC298|SNGM	43	13	HCC1806|AGS|BICR6|U251MG|A549|ES2|PC3|A375|MCF7|YAPC|HT29|SNGM|NA	10	6	A549|ES2|U251MG|BICR6|PC3|AGS
CDK8	1024	ENSG00000132964	20	10	U251MG|BICR6|YAPC|MCF7|ES2|HT29|A375|A549|PC3|AGS	89	17	A375|ES2|MCF7|HT29|KYSE30|A549|IPC298|PC3|SNU761|KELLY|BICR6|AGS|HCC1806|YAPC|U251MG|HS944T|NA	1	1	ES2
CDK9	1025	ENSG00000136807	56	20	DLD1|HT29|BICR6|U251MG|ES2|IPC298|YAPC|KELLY|A375|PC3|A549|AGS|MCF7|HCC1806|SNU761|LCLC103H|KYSE30|SNGM|HS944T|DANG	57	10	HT29|A549|LCLC103H|PC3|BICR6|AGS|A375|ES2|SNGM|NA	5	4	HCC44|A375|U251MG|AGS
CDKAL1	54901	ENSG00000145996	20	10	PC3|U251MG|MCF7|AGS|A375|YAPC|ES2|BICR6|A549|HT29	33	12	U251MG|YAPC|ES2|HT29|PC3|SNGM|A375|BICR6|AGS|A549|MCF7|HCC1806	1	1	DLD1
CDKL1	8814	ENSG00000100490	20	10	HT29|YAPC|PC3|AGS|A549|MCF7|A375|U251MG|ES2|BICR6	4	1	NA	NA	NA	NA
CDKL2	8999	ENSG00000138769	20	10	YAPC|A549|AGS|PC3|MCF7|BICR6|A375|U251MG|ES2|HT29	5	1	NA	NA	NA	NA
CDKL3	51265	ENSG00000006837	20	10	PC3|A375|YAPC|HT29|ES2|U251MG|A549|BICR6|MCF7|AGS	10	1	NA	NA	NA	NA
CDKL4	344387	bioMart	20	10	MCF7|BICR6|YAPC|HT29|PC3|A549|U251MG|AGS|A375|ES2	37	1	NA	8	7	A549|KYSE30|BICR6|ES2|SNU761|YAPC|A375
CDKL5	6792	ENSG00000008086	20	10	A375|BICR6|MCF7|A549|ES2|YAPC|AGS|HT29|U251MG|PC3	11	6	HCC44|BICR6|LCLC103H|A549|A375|NA	14	8	A375|THP1|MCF7|YAPC|BICR6|PC3|AGS|HS944T
