ID	Geneid	hgnc_symbol	entrezgene_id	biotype
TMEM178B (100507421)	ENSG00000261115	TMEM178B	100507421	protein_coding
MICA (100507436)	ENSG00000204520	MICA	100507436	protein_coding
TGFBR3L (100507588)	ENSG00000260001	TGFBR3L	100507588	protein_coding
KRTAP9-6 (100507608)	ENSG00000212659	KRTAP9-6	100507608	protein_coding
RNF212B (100507650)	ENSG00000215277	RNF212B	100507650	protein_coding
MUC22 (100507679)	ENSG00000261272	MUC22	100507679	protein_coding
SMC4 (10051)	ENSG00000113810	SMC4	10051	protein_coding
GJC1 (10052)	ENSG00000182963	GJC1	10052	protein_coding
AP1M2 (10053)	ENSG00000129354	AP1M2	10053	protein_coding
KRTAP29-1 (100533177)	ENSG00000212658	KRTAP29-1	100533177	protein_coding
UBA2 (10054)	ENSG00000126261	UBA2	10054	protein_coding
SAE1 (10055)	ENSG00000142230	SAE1	10055	protein_coding
FARSB (10056)	ENSG00000116120	FARSB	10056	protein_coding
ABCC5 (10057)	ENSG00000114770	ABCC5	10057	protein_coding
ABCB6 (10058)	ENSG00000115657	ABCB6	10058	protein_coding
DNM1L (10059)	ENSG00000087470	DNM1L	10059	protein_coding
CDH8 (1006)	ENSG00000150394	CDH8	1006	protein_coding
ABCC9 (10060)	ENSG00000069431	ABCC9	10060	protein_coding
ABCF2 (10061)	ENSG00000033050	ABCF2	10061	protein_coding
NR1H3 (10062)	ENSG00000025434	NR1H3	10062	protein_coding
COX17 (10063)	ENSG00000138495	COX17	10063	protein_coding
CEP295NL (100653515)	ENSG00000178404	CEP295NL	100653515	protein_coding
SCAMP2 (10066)	ENSG00000140497	SCAMP2	10066	protein_coding
SCAMP3 (10067)	ENSG00000116521	SCAMP3	10067	protein_coding
IL18BP (10068)	ENSG00000137496	IL18BP	10068	protein_coding
RWDD2B (10069)	ENSG00000156253	RWDD2B	10069	protein_coding
CDH9 (1007)	ENSG00000113100	CDH9	1007	protein_coding
MUC12 (10071)	ENSG00000205277	MUC12	10071	protein_coding
DPP3 (10072)	ENSG00000254986	DPP3	10072	protein_coding
SNUPN (10073)	ENSG00000169371	SNUPN	10073	protein_coding
HUWE1 (10075)	ENSG00000086758	HUWE1	10075	protein_coding
PTPRU (10076)	ENSG00000060656	PTPRU	10076	protein_coding
TSPAN32 (10077)	ENSG00000064201	TSPAN32	10077	protein_coding
TSSC4 (10078)	ENSG00000184281	TSSC4	10078	protein_coding
ATP9A (10079)	ENSG00000054793	ATP9A	10079	protein_coding
CDH10 (1008)	ENSG00000040731	CDH10	1008	protein_coding
PDCD7 (10081)	ENSG00000090470	PDCD7	10081	protein_coding
GPC6 (10082)	ENSG00000183098	GPC6	10082	protein_coding
MYZAP (100820829)	ENSG00000263155	MYZAP	100820829	protein_coding
USH1C (10083)	ENSG00000006611	USH1C	10083	protein_coding
PQBP1 (10084)	ENSG00000102103	PQBP1	10084	protein_coding
EDIL3 (10085)	ENSG00000164176	EDIL3	10085	protein_coding
FSBP (100861412)	ENSG00000265817	FSBP	100861412	protein_coding
COL4A3BP (10087)	ENSG00000113163	CERT1	10087	protein_coding
CERT1 (10087)	ENSG00000113163	CERT1	10087	protein_coding
PTGES3L (100885848)	ENSG00000267060	PTGES3L	100885848	protein_coding
KCNK7 (10089)	ENSG00000173338	KCNK7	10089	protein_coding
CDH11 (1009)	ENSG00000140937	CDH11	1009	protein_coding
UST (10090)	ENSG00000111962	UST	10090	protein_coding
ARPC5 (10092)	ENSG00000162704	ARPC5	10092	protein_coding
ARPC4 (10093)	ENSG00000241553	ARPC4	10093	protein_coding
ARPC3 (10094)	ENSG00000111229	ARPC3	10094	protein_coding
ARPC1B (10095)	ENSG00000130429	ARPC1B	10095	protein_coding
ACTR3 (10096)	ENSG00000115091	ACTR3	10096	protein_coding
ACTR2 (10097)	ENSG00000138071	ACTR2	10097	protein_coding
TSPAN5 (10098)	ENSG00000168785	TSPAN5	10098	protein_coding
TSPAN3 (10099)	ENSG00000140391	TSPAN3	10099	protein_coding
TCP11X2 (100996648)	ENSG00000215029	TCP11X2	100996648	protein_coding
PYURF (100996939)	ENSG00000145337	PYURF	100996939	protein_coding
ADAM8 (101)	ENSG00000151651	ADAM8	101	protein_coding
CDH12 (1010)	ENSG00000154162	CDH12	1010	protein_coding
TSPAN2 (10100)	ENSG00000134198	TSPAN2	10100	protein_coding
NUBP2 (10101)	ENSG00000095906	NUBP2	10101	protein_coding
TSFM (10102)	ENSG00000123297	TSFM	10102	protein_coding
TSPAN1 (10103)	ENSG00000117472	TSPAN1	10103	protein_coding
PPIF (10105)	ENSG00000108179	PPIF	10105	protein_coding
GOLGA8R (101059918)	ENSG00000186399	GOLGA8R	101059918	protein_coding
