Cell.type,Immunity,Name_in_19cell,hgnc_symbol,entrezgene_id,ensembl_gene_id
Monocyte,Innate,Monocytes,CFL1,1072,ENSG00000172757
Monocyte,Innate,Monocytes,CD1D,912,ENSG00000158473
Monocyte,Innate,Monocytes,ATP6V1B2,526,ENSG00000147416
Monocyte,Innate,Monocytes,ASGR2,433,ENSG00000161944
Monocyte,Innate,Monocytes,ASGR1,432,ENSG00000141505
Monocyte,Innate,Monocytes,ANXA5,308,ENSG00000164111
Monocyte,Innate,Monocytes,ACTG1,71,ENSG00000184009
Natural killer cell,Innate,NK activated,FAM27A,100133121,ENSG00000278763
Natural killer cell,Innate,NK activated,GAGE2,729447,ENSG00000189064
Natural killer cell,Innate,NK activated,DGKH,160851,ENSG00000102780
Natural killer cell,Innate,NK activated,FAM49A,81553,ENSG00000197872
Natural killer cell,Innate,NK activated,CRTAM,56253,ENSG00000109943
Natural killer cell,Innate,NK activated,DLL4,54567,ENSG00000128917
Natural killer cell,Innate,NK activated,FZR1,51343,ENSG00000105325
Natural killer cell,Innate,NK activated,F11R,50848,ENSG00000158769
Natural killer cell,Innate,NK activated,GLS2,27165,ENSG00000135423
Natural killer cell,Innate,NK activated,KANK2,25959,ENSG00000197256
Natural killer cell,Innate,NK activated,FSTL1,11167,ENSG00000163430
Natural killer cell,Innate,NK activated,LDB3,11155,ENSG00000122367
Natural killer cell,Innate,NK activated,AKT3,10000,ENSG00000117020
Natural killer cell,Innate,NK activated,CYTH1,9267,ENSG00000108669
Natural killer cell,Innate,NK activated,FGF18,8817,ENSG00000156427
Natural killer cell,Innate,NK activated,LST1,7940,ENSG00000204482
Natural killer cell,Innate,NK activated,IGFBP5,3488,ENSG00000115461
Natural killer cell,Innate,NK activated,CXCL1,2919,ENSG00000163739
Natural killer cell,Innate,NK activated,GRB2,2885,ENSG00000177885
Natural killer cell,Innate,NK activated,GBP3,2635,ENSG00000117226
Natural killer cell,Innate,NK activated,FUT5,2527,ENSG00000130383
Natural killer cell,Innate,NK activated,FUCA1,2517,ENSG00000179163
Natural killer cell,Innate,NK activated,FN1,2335,ENSG00000115414
Natural killer cell,Innate,NK activated,FCGR1A,2209,ENSG00000150337
Natural killer cell,Innate,NK activated,ERBB3,2065,ENSG00000065361
Natural killer cell,Innate,NK activated,DPYD,1806,ENSG00000188641
Natural killer cell,Innate,NK activated,DAXX,1616,ENSG00000204209
Natural killer cell,Innate,NK activated,CTSZ,1522,ENSG00000101160
Natural killer cell,Innate,NK activated,CSF2RA,1438,ENSG00000198223
Natural killer cell,Innate,NK activated,CDH2,1000,ENSG00000170558
Natural killer cell,Innate,NK activated,CDC5L,988,ENSG00000096401
Natural killer cell,Innate,NK activated,BST2,684,ENSG00000130303
Natural killer cell,Innate,NK activated,BCL2,596,ENSG00000171791
Natural killer cell,Innate,NK activated,AXL,558,ENSG00000167601
Natural killer cell,Innate,NK activated,FASLG,356,ENSG00000117560
Natural killer T cell,Innate,NKT activated,EMR1,2015,ENSG00000174837
